plot_id	year	period	moss_cover_min	moss_cover_max	herb_cover_min	herb_cover_max	shrub_cover_min	shrub_cover_max	tree_cover_min	tree_cover_max	waterlayer_cover_min	waterlayer_cover_max	soildisturbance_game_cover_min	soildisturbance_game_cover_max	number_of_species	cumm_herb_coverage_class_average_perc	cumulated_canopy_cover_min	cumulated_canopy_cover_max	subplot_id	moss_cover_mean	herb_cover_mean	shrub_cover_mean	tree_cover_mean	waterlayer_cover_mean	soildisturbance_game_cover_mean	cumulated_canopy_cover_mean
11000	2000	1	1	3	75	85	0	1	75	85	NA	NA	NA	NA	5	79	75	85.15	206052	2	80	0.5	80	NA	NA	80.1
11000	2000	1	1	3	95	100	0	1	65	75	NA	NA	NA	NA	4	114.5	65	75.25	206053	2	97.5	0.5	70	NA	NA	70.15
11000	2000	1	3	5	95	100	0	1	45	55	NA	NA	NA	NA	7	105	45	55.45	206054	4	97.5	0.5	50	NA	NA	50.25
11000	2000	1	10	15	95	100	0	1	35	45	NA	NA	NA	NA	9	96	35	45.55	206055	12.5	97.5	0.5	40	NA	NA	40.3
11000	2000	1	5	10	85	95	0	1	75	85	NA	NA	NA	NA	11	101	75	85.15	206511	7.5	90	0.5	80	NA	NA	80.1
11000	2000	1	5	10	75	85	0	1	75	85	NA	NA	NA	NA	11	96.5	75	85.15	206512	7.5	80	0.5	80	NA	NA	80.1
11000	2000	1	1	3	65	75	0	1	85	95	NA	NA	NA	NA	7	53	85	95.05	206513	2	70	0.5	90	NA	NA	90.05
11000	2000	1	0	1	25	35	0	1	95	100	NA	NA	NA	NA	4	28.5	95	100	206514	0.5	30	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	25	35	0	1	95	100	NA	NA	NA	NA	5	38.5	95	100	206515	0.5	30	0.5	97.5	NA	NA	97.5125
11000	2000	1	3	5	85	95	0	1	15	25	NA	NA	NA	NA	9	110	15	25.75	206521	4	90	0.5	20	NA	NA	20.4
11000	2000	1	5	10	85	95	0	1	15	25	NA	NA	NA	NA	10	80.5	15	25.75	206522	7.5	90	0.5	20	NA	NA	20.4
11000	2000	1	5	10	55	65	0	1	65	75	NA	NA	NA	NA	13	59	65	75.25	206523	7.5	60	0.5	70	NA	NA	70.15
11000	2000	1	0	1	10	15	0	1	95	100	NA	NA	NA	NA	5	13	95	100	206524	0.5	12.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	15	25	0	1	75	85	NA	NA	NA	NA	5	25.5	75	85.15	206525	0.5	20	0.5	80	NA	NA	80.1
11000	2000	1	3	5	95	100	0	1	15	25	NA	NA	NA	NA	9	124.5	15	25.75	206531	4	97.5	0.5	20	NA	NA	20.4
11000	2000	1	3	5	85	95	0	1	15	25	NA	NA	NA	NA	10	104	15	25.75	206532	4	90	0.5	20	NA	NA	20.4
11000	2000	1	10	15	65	75	0	1	85	95	NA	NA	NA	NA	9	81	85	95.05	206533	12.5	70	0.5	90	NA	NA	90.05
11000	2000	1	10	15	15	25	0	1	95	100	NA	NA	NA	NA	5	25	95	100	206534	12.5	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	3	5	0	1	95	100	NA	NA	NA	NA	3	5	95	100	206535	2	4	0.5	97.5	NA	NA	97.5125
11000	2000	1	10	15	85	95	0	1	35	45	NA	NA	NA	NA	11	88.5	35	45.55	206541	12.5	90	0.5	40	NA	NA	40.3
11000	2000	1	1	3	35	45	0	1	65	75	NA	NA	NA	NA	7	31.5	65	75.25	206542	2	40	0.5	70	NA	NA	70.15
11000	2000	1	1	3	15	25	0	1	95	100	NA	NA	NA	NA	5	25	95	100	206543	2	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	35	45	0	1	95	100	NA	NA	NA	NA	8	46	95	100	206544	2	40	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	10	15	0	1	95	100	NA	NA	NA	NA	5	13	95	100	206545	2	12.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	10	15	85	95	0	1	1	3	NA	NA	NA	NA	8	83	1	3.97000000000001	206551	12.5	90	0.5	2	NA	NA	2.49
11000	2000	1	10	15	65	75	0	1	25	35	NA	NA	NA	NA	5	52	25	35.65	206552	12.5	70	0.5	30	NA	NA	30.35
11000	2000	1	10	15	65	75	0	1	25	35	NA	NA	NA	NA	9	78.5	25	35.65	206553	12.5	70	0.5	30	NA	NA	30.35
11000	2000	1	1	3	75	85	0	1	5	10	NA	NA	NA	NA	8	87.5	5	10.9	206554	2	80	0.5	7.5	NA	NA	7.9625
11000	2000	1	1	3	65	75	0	1	35	45	NA	NA	NA	NA	7	67.5	35	45.55	206555	2	70	0.5	40	NA	NA	40.3
11000	2000	1	1	3	3	5	0	1	95	100	NA	NA	NA	NA	3	5	95	100	207011	2	4	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	15	25	0	1	75	85	NA	NA	NA	NA	6	17	75	85.15	207012	2	20	0.5	80	NA	NA	80.1
11000	2000	1	3	5	10	15	0	1	85	95	NA	NA	NA	NA	5	13	85	95.05	207013	4	12.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	10	15	0	1	95	100	NA	NA	NA	NA	4	25	95	100	207014	2	12.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	10	15	0	1	95	100	NA	NA	NA	NA	3	5	95	100	207015	2	12.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	3	5	0	1	95	100	NA	NA	NA	NA	3	5	95	100	207021	2	4	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	3	5	0	1	95	100	NA	NA	NA	NA	4	5.5	95	100	207022	2	4	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	3	5	0	1	95	100	NA	NA	NA	NA	2	4.5	95	100	207023	0.5	4	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	5	10	0	1	95	100	NA	NA	NA	NA	6	6.5	95	100	207024	2	7.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	15	25	0	1	95	100	NA	NA	NA	NA	5	25.5	95	100	207025	0.5	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	25	35	0	1	95	100	NA	NA	NA	NA	4	9	95	100	207031	2	30	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	15	25	0	1	95	100	NA	NA	NA	NA	5	23.5	95	100	207032	0.5	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	5	10	0	1	95	100	NA	NA	NA	NA	6	10	95	100	207033	0.5	7.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	15	25	0	1	95	100	NA	NA	NA	NA	5	20	95	100	207034	2	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	25	35	0	1	75	85	NA	NA	NA	NA	8	34	75	85.15	207035	2	30	0.5	80	NA	NA	80.1
