forest_reserve,plot_id,plottype,period,survey_number,year_dendro,survey_trees,survey_deadw,survey_veg,survey_reg,game_impact_veg,game_impact_reg,data_processed,survey_lis,r_A1,r_A2,r_A3,r_A4,dbh_min_a3,dbh_min_a3_dead,dbh_min_a4,dbh_min_a4_dead,dbh_min_core_area,dbh_min_core_area_dead,diam_min_a4_logs,diam_min_core_area_logs,length_core_area_m,width_core_area_m,core_area_ha
Withoefse heide,221,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,223,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,224,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,225,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,226,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,227,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,228,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,229,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Wijnendalebos,401,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Wijnendalebos,402,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
