ID,Value1,Value2,Value3,OrderField,Active
887,Oranjelelie,Lilium bulbiferum L. subsp. croceum (Cha,6140,,1
888,Overblijvende hardbloem,Scleranthus perennis L.,7549,,1
889,Overblijvende ossentong,Pentaglottis sempervirens (L.) Tausch ex,6718,,1
890,Paarbladig fonteinkruid,Groenlandia densa (L.) Fourr.,5749,,1
891,Paarbladig goudveil,Chrysosplenium oppositifolium L.,4898,,1
892,Paardebloem,Taraxacum Wiggers sectie Subvulgaria Chr,7906,,1
893,Paardebloemstreepzaad,Crepis polymorpha Pourr.,5082,,1
894,Paardekastanje,Aesculus hippocastanum,3957,,1
895,Paarse dovenetel,Lamium purpureum L.,6048,,1
896,Paarse schubwortel,Lathraea clandestina L.,6065,,1
897,Padderus,Juncus subnodulosus Schrank,6006,,1
898,Papegaaiekruid,Amaranthus retroflexus L.,4088,,1
899,Parelvederkruid,Myriophyllum aquaticum (Velloso) Verdc.,6474,,1
900,Parnassia,Parnassia palustris L.,6694,,1
901,Peen,Daucus carota L.,5181,,1
902,Penningkruid,Lysimachia nummularia L.,6271,,1
903,Penseelbladige waterranonkel,Ranunculus penicillatus (Dum.) Bab.,7136,,1
904,Peperkers,Lepidium latifolium L.,6116,,1
905,Perzikbladig viooltje,Viola persicifolia Schreb.,8247,,1
906,Perzikkruid,Polygonum persicaria L.,6929,,1
907,Pijlkruid,Sagittaria sagittifolia L.,7379,,1
908,Pijlkruidkers,Cardaria draba (L.) Desv.,4631,,1
909,Pijpbloem,Aristolochia clematitis L.,4238,,1
910,Pijpenstrootje,Molinia caerulea (L.) Moench,6425,,1
911,Pijptorkruid,Oenanthe fistulosa L.,6544,,1
912,Pilvaren,Pilularia globulifera L.,6813,,1
913,Pilzegge,Carex pilulifera L.,4720,,1
914,Pinksterbloem,Cardamine pratensis L.,4644,,1
915,Pitrus,Juncus effusus L.,5996,,1
916,Plat beemdgras,Poa compressa L.,6868,,1
917,Plat blaasjeskruid,Utricularia intermedia Hayne,8100,,1
918,Plat fonteinkruid,Potamogeton compressus L.,6973,,1
919,Platte bies,Blysmus compressus (L.) Panzer ex Link,7527,,1
920,Platte rus,Juncus compressus Jacq.,5994,,1
921,Pluimzegge,Carex paniculata L.,4715,,1
922,Poelruit,Thalictrum flavum L.,7929,,1
923,Polei,Mentha pulegium L.,6374,,1
924,Pontische rododendron,Rhododendron ponticum L.,7185,,1
925,Poppenorchis,Aceras anthropophorum (L.) Ait. f.,3918,,1
926,Populier species,Populus species,6959,,1
927,Prachtklokje,Campanula persicifolia L.,4610,,1
928,Priemkruid,Subularia aquatica L.,7853,,1
929,Puntig fonteinkruid,Potamogeton friesii Rupr.,6977,,1
930,Puntkroos,Lemna trisulca L.,6099,,1
931,Purperochis,Orchis purpurea Huds.,6594,,1
932,Rankende duivekervel,Fumaria capreolata L.,5599,,1
933,Rankende helmbloem,Ceratocapnos claviculata (L.) Lid‚n,4814,,1
934,Rapunzelklokje,Campanula rapunculus L.,4614,,1
935,Ratelpopulier,Populus tremula L.,6960,,1
936,Rechte driehoeksvaren,Gymnocarpium robertianum (Hoffmann) Newm,5760,,1
937,Rechte ganzerik,Potentilla recta L.,7005,,1
938,Reukeloze kamille,Matricaria maritima L.,6314,,1
939,Reuzenbalsemien,Impatiens glandulifera Royle,5935,,1
940,Reuzenberenklauw,Heracleum mantegazzianum Somm. et Lev.,5803,,1
941,Reuzenpaardenstaart,Equisetum telmateia Ehrh.,5396,,1
942,Reuzenzwenkgras,Festuca gigantea (L.) Vill.,5536,,1
943,Ribes odoratum H.L. Wendl.,Ribes odoratum H.L. Wendl.,7193,,1
944,Ribes sanguineum Pursh,Ribes sanguineum Pursh,7196,,1
945,Ribes spicatum E. Robson,Ribes spicatum E. Robson,7198,,1
946,Ridderzuring,Rumex obtusifolius L.,7341,,1
947,Riempjes,Corrigiola litoralis L.,5017,,1
948,Riet,Phragmites australis (Cav.) Steud.,6773,,1
949,Rietgras,Phalaris arundinacea L.,6750,,1
950,Rietorchis,Dactylorhiza praetermissa (Druce) So¢,5157,,1
951,Rietzwenkgras,Festuca arundinacea Schreb.,5533,,1
952,Rijsbes,Vaccinium uliginosum L.,8111,,1
953,Rijstgras,Leersia oryzoides (L.) Swartz,6090,,1
954,Rimpelroos,Rosa rugosa Thunb.,7243,,1
955,Ringelwikke,Vicia hirsuta (L.) S.F. Gray,8201,,1
956,Rivierfonteinkruid,Potamogeton nodosus Poiret,6979,,1
957,Rivierkruiskruid,Senecio sarracenicus L.,7607,,1
958,Robinia (Gewone),Robinia pseudoacacia L.,7203,,1
959,Rode aardebeispinazie,Chenopodium foliosum Aschers.,4870,,1
960,Rode bosbes,Vaccinium vitis-idaea L.,8112,,1
961,Rode dophei,Erica cinerea L.,5415,,1
962,Rode ganzenvoet,Chenopodium rubrum L.,4884,,1
963,Rode kamperfoelie,Lonicera xylosteum L.,6214,,1
964,Rode klaver,Trifolium pratense L.,8031,,1
965,Rode kornoelje,Cornus sanguinea L.,5006,,1
966,Rode ogentroost,Odontites vernus (Bellardi) Dum.,6539,,1
967,Rode schijnspurrie,Spergularia rubra (L.) J. et C. Presl,7789,,1
968,Rode spoorbloem,Centranthus ruber (L.) DC.,4806,,1
969,Rond wintergroen,Pyrola rotundifolia L.,7088,,1
970,Ronde ooievaarsbek,Geranium rotundifolium L.,5706,,1
971,Ronde zegge,Carex diandra Schrank,4679,,1
972,Ronde zonnedauw,Drosera rotundifolia L.,5263,,1
973,Rood en blauw guichelheil,Anagallis arvensis L.,4127,,1
974,Rood peperboompje,Daphne mezereum L.,5172,,1
975,Rood zwenkgras,Festuca rubra L.,5555,,1
976,Rosa multiflora Thunb. ex Murray,Rosa multiflora Thunb. ex Murray,7237,,1
977,Rosa pseudoscabriuscula,Rosa pseudoscabriuscula,7241,,1
978,Rosse vossenstaart,Alopecurus aequalis Sobol.,4038,,1
979,Rossig fonteinkruid,Potamogeton alpinus Balb.,6970,,1
980,Rossige wilg,Salix atrocinerea Brot.,7392,,1
981,Roze vetkruid,Sedum spurium Bieb.,7590,,1
982,Rozenkransje,Antennaria dioica (L.) Gaertn.,4160,,1
983,Rozetsteenkers,Cardaminopsis arenosa (L.) Hayek,4648,,1
984,Rubus laciniatus Willd.,Rubus laciniatus Willd.,7288,,1
985,Ruig hertshooi,Hypericum hirsutum L.,5902,,1
986,Ruig klokje,Campanula trachelium L.,4618,,1
987,Ruig viooltje,Viola hirta L.,8241,,1
988,Ruig zoutkruid,Bassia hirsuta (L.) Aschers.,4402,,1
989,Ruige anjer,Dianthus armeria L.,5203,,1
990,Ruige klaproos,Papaver argemone L.,6670,,1
991,Ruige leeuwentand,Leontodon hispidus L.,6104,,1
992,Ruige scheefkelk,Arabis hirsuta (L.) Scop.,4210,,1
993,Ruige veldbies,Luzula pilosa (L.) Willd.,6245,,1
994,Ruige weegbree,Plantago media L.,6851,,1
995,Ruige zegge,Carex hirta L.,4696,,1
996,Ruw beemdgras,Poa trivialis L.,6877,,1
997,Ruw parelzaad,Lithospermum arvense L.,4527,,1
998,Ruw vergeet-mij-nietje,Myosotis ramosissima Rochel ex Schult.,6463,,1
999,Ruw walstro,Galium uliginosum L.,5665,,1
1000,Ruwe berk,Betula pendula Roth,4427,,1
1001,Ruwe bies,Scirpus tabernaemontani C.C. Gmel.,7537,,1
1002,Ruwe dravik,Bromus ramosus Huds.,4506,,1
1003,Ruwe iep,Ulmus glabra Huds.,8082,,1
1004,Ruwe klaver,Trifolium scabrum L.,8036,,1
1005,Ruwe smeerwortel,Symphytum 'asperum' groep,7860,,1
1006,Ruwe smele,Deschampsia cespitosa (L.) Beauv.,5191,,1
1007,Sachalinse duizendknoop,Fallopia sachalinensis (F. Schmidt Petro,6931,,1
1008,Schaafstro,Equisetum hyemale L.,5391,,1
1009,Schaduwgras,Poa nemoralis L.,6869,,1
1010,Schaduwkruiskruid,"Senecio ovatus (Gaertn., B. Mey. et Sche",7612,,1
1011,Schapezuring,Rumex acetosella L.,7332,,1
1012,Schedefonteinkruid,Potamogeton pectinatus L.,6981,,1
1013,Schedegeelster,Gagea spathacea (Hayne) Salisb.,5613,,1
1014,Schermhavikskruid,Hieracium umbellatum L.,5844,,1
1015,Schermscheefbloem,Iberis umbellata L.,5926,,1
1016,Scherpe boterbloem,Ranunculus acris L.,7109,,1
1017,Scherpe fijnstraal,Erigeron acer L.,5419,,1
1018,Scherpe zegge,Carex acuta L.,4663,,1
1019,Scheve hoornbloem,Cerastium diffusum Pers.,4819,,1
1020,Schietwilg,Salix alba L.,7391,,1
1021,Schijfkamille,Matricaria discoidea DC.,6313,,1
1022,Schijnaardbei,Duchesnea indica (Andrews) Focke,5280,,1
1023,Schildereprijs,Veronica scutellata L.,8184,,1
1024,Schildzaad,Alyssum alyssoides (L.) L.,4057,,1
1025,Schorrekruid,Suaeda maritima (L.) Dum.,7850,,1
1026,Schorrezoutgras,Triglochin maritimum L.,8045,,1
1027,Schraallandpaardebloem,Taraxacum Wiggers sectie Spectabilia (Da,7904,,1
1028,Schubvaren,Ceterach officinarum Willd.,4837,,1
1029,Schubzegge,Carex lepidocarpa Tausch,4702,,1
1030,Sedum sarmentosum Bunge,Sedum sarmentosum Bunge,7586,,1
1031,Selderij,Apium graveolens L.,4195,,1
1032,Sierlijke vetmuur,Sagina nodosa (L.) Fenzl,7374,,1
1033,Sikkelklaver,Medicago falcata L.,6325,,1
1034,Sikkelkruid,Falcaria vulgaris Bernh.,5525,,1
1035,Sint-janskruid,Hypericum perforatum L.,5910,,1
1036,Slangekruid,Echium vulgare L.,5305,,1
1037,Slangelook,Allium scorodoprasum L.,4027,,1
1038,Slangewortel,Calla palustris L.,4573,,1
1039,Slank wollegras,Eriophorum gracile Koch ex Roth,5429,,1
1040,Slanke gentiaan,Gentianella uliginosa (Willd.) B”rner,5689,,1
1041,Slanke sleutelbloem,Primula elatior (L.) Hill,7017,,1
1042,Slanke waterbies,Eleocharis uniglumis (Link) Schult.,5327,,1
1043,Slanke waterkers,Nasturtium microphyllum (Boenningh.) Rei,7210,,1
1044,Slanke waterweegbree,Alisma lanceolatum With.,4013,,1
1045,Slanke zegge,Carex strigosa Huds.,4732,,1
1046,Sleedoorn,Prunus spinosa L.,7042,,1
1047,Slijkgroen,Limosella aquatica L.,6151,,1
1048,Slijkzegge,Carex limosa L.,4703,,1
1049,Slipbladige ooievaarsbek,Geranium dissectum L.,5692,,1
1050,Slofhak,Anthoxanthum aristatum Boiss.,4174,,1
1051,Smal fakkelgras,Koeleria macrantha (Ledeb.) Schult.,6026,,1
1052,Smal streepzaad,Crepis tectorum L.,5081,,1
1053,Smal tandzaad,Bidens connata Muhlenb. ex Willd.,4433,,1
1054,Smal vlieszaad,Corispermum leptopterum (Aschers.) Iljin,5002,,1
1055,Smalle aster,Aster lanceolatus Willd.,4316,,1
1056,Smalle beukvaren,Phegopteris connectilis (Michaux) Watt,6757,,1
1057,Smalle raai,Galeopsis angustifolia Ehrh. ex Hoffmann,5628,,1
1058,Smalle stekelvaren,Dryopteris carthusiana (Vill.) H.P. Fuch,5269,,1
1059,Smalle waterpest,Elodea nuttallii (Planch) St John,5336,,1
1060,Smalle waterweegbree,Alisma gramineum Lej.,4012,,1
1061,Smalle weegbree,Plantago lanceolata L.,6848,,1
1062,Snavelruppia,Ruppia maritima L.,7362,,1
1063,Snavelzegge,Carex rostrata Stokes,4729,,1
1064,Sneeuwbes,Symphoricarpos albus (L.) S.F. Blake,7866,,1
1065,Sofiekruid,Descurainia sophia (L.) Webb ex Prantl,5195,,1
1066,Soldaatje,Orchis militaris L.,6591,,1
1067,Sorbaria tomentosa (Lindl.) Rehdr.,Sorbaria tomentosa (Lindl.) Rehdr.,7758,,1
1068,Spaanse aak,Acer campestre L.,3909,,1
1069,Spaanse ruiter,Cirsium dissectum (L.) Hill,4921,,1
1070,Spaanse zuring,Rumex scutatus L.,7353,,1
1071,Spatelkruiskruid,Senecio helenitis (L.) Schinz et Thell.,7608,,1
1072,Speenkruid,Ranunculus ficaria L.,7121,,1
1073,Speerdistel,Cirsium vulgare (Savi) Ten.,4929,,1
1074,Spekwortel,Tamus communis L.,7879,,1
1075,Spiesleeuwenbek,Kickxia elatine (L.) Dum.,6017,,1
1076,Spiesmelde,Atriplex prostrata Boucher ex DC.,4355,,1
1077,Spinaziezuring,Rumex patientia L.,7346,,1
1078,Spinnneorchis,Ophrys sphegodes Mill.,6586,,1
1079,Spiraalruppia,Ruppia cirrhosa (Petagna) Grande,7361,,1
1080,Spits fonteinkruid,Potamogeton acutifolius Link,6969,,1
1081,Spits havikskruid,Hieracium lactucella Wallr.,5833,,1
1082,Sporkehout,Frangula alnus Mill.,7169,,1
1083,Stalkaars,Verbascum densiflorum Bertol.,8133,,1
1084,Steenanjer,Dianthus deltoides L.,5207,,1
1085,Steenbreekvaren,Asplenium trichomanes L.,4308,,1
1086,Steeneppe,Sison amomum L.,7690,,1
1087,Steenhoornbloem,Cerastium pumilum Curt.,4827,,1
1088,Steenkruidkers,Lepidium ruderale L.,6119,,1
1089,Steentijmereprijs,Veronica acinifolia L.,8158,,1
1090,Stekelbrem,Genista anglica L.,5676,,1
1091,Stekelvaren species,Dryopteris carthusiana/dilatata,,,1
1092,Stekende bies,Scirpus pungens Vahl,7539,,1
1093,Stekende wolfsklauw,Lycopodium annotinum L.,6257,,1
1094,Stengelloze sleutelbloem,Primula vulgaris Huds.,7020,,1
1095,Stengelomvattend havikskruid,Hieracium amplexicaule L.,5824,,1
1096,Sterzegge,Carex echinata Murray,4687,,1
1097,Stijf barbarakruid,Barbarea stricta Andrz.,4396,,1
1098,Stijf hardgras,Catapodium rigidum (L.) C.E. Hubbard,5198,,1
1099,Stijf havikskruid,Hieracium laevigatum Willd.,5834,,1
1100,Stijf vergeet-mij-nietje,Myosotis stricta Link ex Roem. et Schult,6467,,1
1101,Stijve dravik,Bromus diandrus Roth,4492,,1
1102,Stijve klaverzuring,Oxalis fontana Bunge,6649,,1
1103,Stijve naaldvaren,Polystichum aculeatum (L.) Roth,6938,,1
1104,Stijve ogentroost,Euphrasia stricta L.,5510,,1
1105,Stijve waterranonkel,Ranunculus circinatus Sibth.,7118,,1
1106,Stijve windhalm,Apera interrupta (L.) Beauv.,4188,,1
1107,Stijve zegge,Carex elata All.,4688,,1
1108,Stijve zonnebloem,Helianthus laetiflorus Pers.,5777,,1
1109,Stinkend streepzaad,Crepis foetida L.,5074,,1
1110,Stinkende alant,Dittrichia graveolens L. Greuter,5245,,1
1111,Stinkende ballote,Ballota nigra L.,4390,,1
1112,Stinkende ganzenvoet,Chenopodium vulvaria L.,4888,,1
1113,Stinkende gouwe,Chelidonium majus L.,4856,,1
1114,Stinkende kamille,Anthemis cotula L.,4168,,1
1115,Stippelganzenvoet,Chenopodium ficifolium Smith,4869,,1
1116,Stippelvaren,Oreopteris limbosperma (Bellardi ex All.,6598,,1
1117,Stippelzegge,Carex punctata Gaudin,4725,,1
1118,Stofzaad,Monotropa hypopitys L.,6435,,1
1119,Stomp fonteinkruid,Potamogeton obtusifolius Mert. et Koch,6980,,1
1120,Stomp kweldergras,Puccinellia distans (L.) Parl.,7067,,1
1121,Stomp vlotgras,Glyceria notata Chevall.,5731,,1
1122,Stomphoekig sterrenkroos,Callitriche obtusangula Le Gall,4578,,1
1123,Straatgras,Poa annua L.,6865,,1
1124,Straatliefdegras,Eragrostis pilosa (L.) Beauv.,5408,,1
1125,Strandbiet (en biet),Beta vulgaris L.,4423,,1
1126,Strandduizendguldenkruid,Centaurium littorale (D. Turn.) Gilm.,4803,,1
1127,Strandkweek,Elymus athericus (Link) Kergu‚len,5340,,1
1128,Strandmelde,Atriplex littoralis L.,4346,,1
1129,Struikhei,Calluna vulgaris (L.) Hull,4587,,1
1130,Struisvaren,Matteuccia struthiopteris (L.) Tod.,6320,,1
1131,Tamarix gallica L.,Tamarix gallica L.,7876,,1
1132,Tamme kastanje,Castanea sativa Mill.,4762,,1
1133,Tandjesgras,Danthonia decumbens (L.) DC.,5169,,1
1134,Taxus,Taxus baccata L.,7912,,1
1135,Teer guichelheil,Anagallis tenella (L.) L.,4131,,1
1136,Teer vederkruid,Myriophyllum alterniflorum DC.,6473,,1
1137,Tenger fonteinkruid,Potamogeton pusillus L.,6985,,1
1138,Tengere distel,Carduus tenuiflorus Curt.,4661,,1
1139,Tengere rus,Juncus tenuis Willd.,6008,,1
1140,Tengere veldmuur,Minuartia hybrida (Vill.) Schischkin,6411,,1
1141,Tengere vetmuur,Sagina apetala Ard.,7372,,1
1142,Tijmereprijs,Veronica serpyllifolia L.,8185,,1
1143,Tongvaren,Asplenium scolopendrium L.,4304,,1
1144,Torenkruid,Arabis glabra (L.) Bernh.,4207,,1
1145,Tormentil,Potentilla erecta (L.) R„uschel,6996,,1
1146,Trekrus,Juncus squarrosus L.,6005,,1
1147,Trilgraszegge,Carex brizoides L.,4669,,1
1148,Tripmadam,Sedum rupestre L.,7584,,1
1149,Trosdravik,Bromus racemosus L.,4511,,1
1150,Trosvlier,Sambucus racemosa L.,7469,,1
1151,Tuinbingelkruid,Mercurialis annua L.,6396,,1
1152,Tuinjudaspenning,Lunaria annua L.,6228,,1
1153,Tuinwolfsmelk,Euphorbia peplus L.,5494,,1
1154,Tweehuizige zegge,Carex dioica L.,4682,,1
1155,Tweenervige zegge,Carex binervis Smith,4667,,1
1156,Tweerijige zegge,Carex disticha Huds.,4684,,1
1157,Tweestijlige meidoorn,Crataegus laevigata (Poiret) DC.,5062,,1
1158,Uitstaande melde,Atriplex patula L.,4349,,1
1159,Valkruid,Arnica montana L.,4248,,1
1160,Valse kamille,Anthemis arvensis L.,4166,,1
1161,Valse salie,Teucrium scorodonia L.,7926,,1
1162,Valse voszegge,Carex cuprina (S ndor ex Heuffel) Nendtv,4673,,1
1163,Valse wingerd,Parthenocissus inserta (A. Kerner) Frits,6697,,1
1164,Valse zandzegge,Carex reichenbachii Bonnet,4726,,1
1165,Varkensgras,Polygonum aviculare L.,6911,,1
1166,Vaste lupine,Lupinus polyphyllus Lindl.,6233,,1
1167,Vederesdoorn,Acer negundo L.,3912,,1
1168,Veelbloemige veldbies,Luzula multiflora (Ehrh.) Lej.,6244,,1
1169,Veelkleurig vergeet-mij-nietje,Myosotis discolor Pers.,6459,,1
1170,Veelstengelige waterbies,Eleocharis multicaulis (Smith) Desv.,5322,,1
1171,Veelwortelig kroos,Spirodela polyrhiza (L.) Schleid.,7812,,1
1172,Veenbies s.l.,Scirpus cespitosus L.,7530,,1
1173,Veenbloembies,Scheuchzeria palustris L.,7511,,1
1174,Veenmosorchis,Hammarbya paludosa (L.) O. Kuntze,5767,,1
1175,Veenorchis,Dactylorhiza sphagnicola (H”ppner) Avery,5160,,1
1176,Veenpluis,Eriophorum polystachion L.,5428,,1
1177,Veenwortel,Polygonum amphibium L.,6906,,1
1178,Veerdelig tandzaad,Bidens tripartita L.,4442,,1
1179,Veldbeemdgras,Poa pratensis L.,6875,,1
1180,Veldereprijs,Veronica arvensis L.,8163,,1
1181,Veldgentiaan,Gentianella campestris (L.) B”rner,5685,,1
1182,Veldgerst,Hordeum secalinum Schreb.,5876,,1
1183,Veldhondstong,Cynoglossum officinale L.,5119,,1
1184,Veldkruidkers,Lepidium campestre (L.) R. Brown,6112,,1
1185,Veldlathyrus,Lathyrus pratensis L.,6080,,1
1186,Veldrus,Juncus acutiflorus Ehrh. ex Hoffmann,5980,,1
1187,Veldsalie,Salvia pratensis L.,7456,,1
1188,Veldzuring,Rumex acetosa L.,7331,,1
1189,Verfbrem,Genista tinctoria L.,5680,,1
1190,Verspreidbladig goudveil,Chrysosplenium alternifolium L.,4897,,1
1191,Vertakte leeuwentand,Leontodon autumnalis L.,6101,,1
1192,Vertakte maanvaren,Botrychium matricariifolium (A. Braun ex,4461,,1
1193,Vetblad,Pinguicula vulgaris L.,6825,,1
1194,Vierzadige wikke,Vicia tetrasperma (L.) Schreb.,8219,,1
1195,Vijfdelig kaasjeskruid,Malva alcea L.,6297,,1
1196,Vijfvingerkruid,Potentilla reptans L.,7006,,1
1197,Viltganzerik,Potentilla argentea L.,6995,,1
1198,Viltig kruiskruid,Senecio erucifolius L.,7606,,1
1199,Viltige basterdwederik,Epilobium parviflorum Schreb.,5366,,1
1200,Viltige hoornbloem,Cerastium tomentosum L.,4830,,1
1201,Viltige spirea,Spiraea tomentosa L.,7803,,1
1202,Viltroos,Rosa tomentosa Smith,7251,,1
1203,Vingerhelmbloem,Corydalis solida (L.) Clairv.,5023,,1
1204,Vingerzegge,Carex digitata L.,4680,,1
1205,Vlakke dwergmispel,Cotoneaster horizontalis Decaisne,5038,,1
1206,Vlasbekje,Linaria vulgaris Mill.,6167,,1
1207,Vlasdolik,Lolium remotum Schrank,6201,,1
1208,Vlashuttentut,Camelina alyssum (Mill.) Thell.,4598,,1
1209,Vlaswarkruid,Cuscuta epilinum Weihe,5101,,1
1210,Vleeskleurige orchis,Dactylorhiza incarnata (L.) So¢,5149,,1
1211,Vliegeorchis,Ophrys insectifera L.,6583,,1
1212,Vlier (Gewone),Sambucus nigra L.,7467,,1
1213,Vlinderstruik,Buddleja davidii Franch.,4525,,1
1214,Vlottende bies,Scirpus fluitans L.,7532,,1
1215,Vlottende waterranonkel,Ranunculus fluitans Lam.,7123,,1
1216,Vlozegge,Carex pulicaris L.,4724,,1
1217,"Voederwikke, vergeten wikke en smalle wik",Vicia sativa L.,8211,,1
1218,Vogelkers,Prunus padus L.,7037,,1
1219,Vogelmuur,Stellaria media (L.) Vill.,7832,,1
1220,Vogelnestje,Neottia nidus-avis (L.) L.C.M. Rich.,6498,,1
1221,Vogelwikke,Vicia cracca L.,8198,,1
1222,Voorjaarsganzerik,Potentilla neumanniana Reichenb.,7012,,1
1223,Voorjaarszegge,Carex caryophyllea Latourr.,4670,,1
1224,Voszegge,Carex vulpina L.,4742,,1
1225,Vreemde ereprijs,Veronica peregrina L.,8177,,1
1226,Vroeg havikskruid,Hieracium glaucinum Jord.,5831,,1
1227,Vroege ereprijs,Veronica praecox All.,8181,,1
1228,Vroege haver,Aira praecox L.,3993,,1
1229,Vroegeling,Erophila verna (L.) Chevall.,5446,,1
1230,Vuurdoorn,Pyracantha coccinea Roem.,7083,,1
1231,Waardzegge,Carex divisa Huds.,4685,,1
1232,Walstrobremraap,Orobanche caryophyllacea Smith,6620,,1
1233,Wantseorchis,Orchis coriophora L.,6588,,1
1234,Wateraardbei,Comarum palustre L.,7004,,1
1235,Watercrassula,Crassula helmsii (T. Kirk) Cock.,5058,,1
1236,Waterdrieblad,Menyanthes trifoliata L.,6395,,1
1237,Waterereprijs,Veronica anagallis-aquatica L.,8161,,1
1238,Watergentiaan,Nymphoides peltata (S.G. Gmel.) O. Kuntz,6526,,1
1239,Watergras,Catabrosa aquatica (L.) Beauv.,4764,,1
1240,Waterkruiskruid,Senecio aquaticus Hill,7603,,1
1241,Waterlepeltje,Ludwigia palustris (L.) S. Elliott,6225,,1
1242,Waterlobelia,Lobelia dortmanna L.,6191,,1
1243,Watermunt,Mentha aquatica L.,6366,,1
1244,Watermuur,Myosoton aquaticum (L.) Moench,7827,,1
1245,Waterpeper,Polygonum hydropiper L.,6918,,1
1246,Waterpostelein,Lythrum portula (L.) D.A. Webb,6278,,1
1247,Waterpunge,Samolus valerandi L.,7472,,1
1248,Waterscheerling,Cicuta virosa L.,4914,,1
1249,Waterteunisbloem,Ludwigia grandiflora (Michaux) Greuter e,6224,,1
1250,Watertorkruid,Oenanthe aquatica (L.) Poiret,6542,,1
1251,Waterviolier,Hottonia palustris L.,5882,,1
1252,Waterzuring,Rumex hydrolapathum Huds.,7339,,1
1253,Weegbreefonteinkruid,Potamogeton coloratus Hornem.,6972,,1
1254,Wegdistel,Onopordum acanthium L.,6576,,1
1255,Wegedoorn,Rhamnus catharticus L.,7168,,1
1256,Weidehavikskruid,Hieracium caespitosum Dum.,5829,,1
1257,Weidekervel,Silaum silaus (L.) Schinz et Thell.,7656,,1
1258,Weidekerveltorkruid,Oenanthe silaifolia Bieb.,6549,,1
1259,Weideklokje,Campanula patula L.,4609,,1
1260,Welriekende agrimonie,Agrimonia procera Wallr.,3967,,1
1261,Welriekende ganzenvoet,Chenopodium ambrosioides L.,4860,,1
1262,Welriekende nachtorchis,Platanthera bifolia (L.) L.C.M. Rich.,6862,,1
1263,Welriekende salomonszegel,Polygonatum odoratum (Mill.) Druce,6944,,1
1264,Wijdbloeiende rus,Juncus tenageia L. f.,6007,,1
1265,Wijfjesvaren,Athyrium filix-femina (L.) Roth,4340,,1
1266,Wijnruit,Ruta graveolens L.,7366,,1
1267,Wild kattekruid,Nepeta cataria L.,6500,,1
1268,Wilde bertram,Achillea ptarmica L.,3924,,1
1269,Wilde chicorei,Cichorium intybus L.,4911,,1
1270,Wilde gagel,Myrica gale L.,6471,,1
1271,Wilde kamperfoelie,Lonicera periclymenum L.,6210,,1
1272,Wilde kardinaalsmuts,Euonymus europaeus L.,5513,,1
1273,Wilde liguster,Ligustrum vulgare L.,6139,,1
1274,Wilde marjolein,Origanum vulgare L.,6602,,1
1275,Wilde narcis,Narcissus pseudonarcissus L.,6488,,1
1276,Wilde peer,Pyrus pyraster (L.) Duroi,7091,,1
1277,Wilde peterselie,Petroselinum segetum (L.) Koch,6734,,1
1278,Wilde reseda,Reseda lutea L.,7160,,1
1279,Wilde ridderspoor,Consolida regalis S.F. Gray,4980,,1
1280,Wilde sorgo,Sorghum halepense (L.) Pers.,7769,,1
1281,Wilde tijm,Thymus serpyllum L.,7958,,1
1282,Wilg breedbladige species,Salix spp. (broad leaves),,,1
1283,Wilg smalbladige species,Salix spp. (small leaves),,,1
1284,Wilg species,Salix spec,7425,,1
1285,wilgsla,Lactuca saligna L.,6033,,1
1286,Winterakoniet,Eranthis hyemalis (L.) Salisb.,5413,,1
1287,Wintereik,Quercus petraea Lieblein,7098,,1
1288,Winterlinde,Tilia cordata Mill.,7962,,1
1289,Wit bosvogeltje,Cephalanthera longifolia (L.) Fritsch,4809,,1
1290,Wit hongerbloempje,Draba muralis L.,5256,,1
1291,Wit vetkruid,Sedum album L.,7576,,1
1292,Witte abeel,Populus alba,6950,,1
1293,Witte amarant,Amaranthus albus L.,4064,,1
1294,Witte dovenetel,Lamium album L.,6044,,1
1295,Witte en grauwe abeel,Populus alba (+ P. x canescens),6949,,1
1296,Witte engbloem,Vincetoxicum hirundinaria Med.,8230,,1
1297,Witte honingklaver,Melilotus albus Med.,6351,,1
1298,Witte klaver,Trifolium repens L.,8032,,1
1299,Witte klaverzuring,Oxalis acetosella L.,6644,,1
1300,Witte krodde,Thlaspi arvense L.,7942,,1
1301,Witte munt + hybriden,Mentha 'suaveolens' groep,6382,,1
1302,Witte paardekastanje,Aesculus hippocastanum L.,3957,,1
1303,Witte rapunzel,Phyteuma spicatum L.,6799,,1
1304,Witte snavelbies,Rhynchospora alba (L.) Vahl,7189,,1
1305,Witte veldbies,Luzula luzuloides (Lam.) Dandy et Wilmot,6240,,1
1306,Witte waterkers,Nasturtium officinale R. Brown,7211,,1
1307,Witte waterlelie,Nymphaea alba L.,6529,,1
1308,Witte waterranonkel,Ranunculus ololeucos Lloyd,7130,,1
1309,Witte winterpostelein,Claytonia perfoliata Donn ex Willd.,4936,,1
1310,Wolfskers,Atropa bella-donna L.,4361,,1
1311,Wolfspoot,Lycopus europaeus L.,6266,,1
1312,Wollige distel,Cirsium eriophorum (L.) Scop.,4922,,1
1313,Wollige sneeuwbal,Viburnum lantana L.,8192,,1
1314,Wondklaver,Anthyllis vulneraria L.,4182,,1
1315,Wortelloos kroos,Wolffia arrhiza (L.) Hork. ex Wimm.,8275,,1
1316,Wouw,Reseda luteola L.,7159,,1
