plot_id	year	period	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc
760	2003	1	3	2672.23114327133	2672.23114327133	NA
761	2003	1	4	6287.60269005019	6287.60269005019	NA
762	2003	1	3	20749.0888771656	20749.0888771656	NA
763	2003	1	3	1257.52053801004	1257.52053801004	NA
764	2003	1	2	2200.66094151757	2200.66094151757	NA
765	2003	1	2	314.380134502509	314.380134502509	NA
766	2003	1	2	4558.51195028639	4558.51195028639	NA
768	2003	1	1	785.950336256273	785.950336256273	NA
801	2004	1	2	3615.37154677886	3615.37154677886	NA
802	2004	1	4	8645.45369881901	8645.45369881901	NA
803	2004	1	2	3300.99141227635	3300.99141227635	NA
804	2004	1	2	40240.6572163212	40240.6572163212	NA
805	2004	1	1	943.140403507528	943.140403507528	NA
806	2004	1	1	7073.55302630646	7073.55302630646	NA
807	2004	1	1	3615.37154677886	3615.37154677886	NA
808	2004	1	2	785.950336256273	785.950336256273	NA
809	2004	1	2	11789.2550438441	11789.2550438441	NA
810	2004	1	3	22949.7498186832	22949.7498186832	NA
811	2004	1	1	2829.42121052258	2829.42121052258	NA
812	2004	1	2	37882.8062075524	37882.8062075524	NA
813	2004	1	2	1886.28080701506	1886.28080701506	NA
814	2004	1	2	31438.0134502509	31438.0134502509	NA
815	2004	1	3	5030.08215204015	5030.08215204015	NA
816	2004	1	2	5187.2722192914	5187.2722192914	NA
817	2004	1	2	8331.0735643165	8331.0735643165	NA
819	2004	1	1	314.380134502509	314.380134502509	NA
820	2004	1	1	2829.42121052258	2829.42121052258	NA
821	2004	1	5	23892.8902221907	23892.8902221907	NA
822	2004	1	2	18548.4279356481	18548.4279356481	NA
824	2004	1	2	7702.31329531148	7702.31329531148	NA
825	2004	1	4	100758.833108054	100758.833108054	NA
827	2004	1	2	785.950336256273	785.950336256273	NA
829	2004	1	2	22949.7498186832	22949.7498186832	NA
831	2004	1	1	628.760269005019	628.760269005019	NA
841	2005	1	8	18391.2378683968	34110.2445935223	NA
842	2005	1	6	51558.3420584115	96200.3211577679	NA
843	2005	1	4	66019.828245527	104374.204654833	NA
844	2005	1	8	24050.080289442	41655.3678215825	NA
845	2005	1	5	3929.75168128137	5816.03248829642	NA
846	2005	1	2	38983.1366783112	63504.7871695069	NA
847	2005	1	6	11160.4947748391	18076.8577338943	NA
848	2005	1	2	13832.7259181104	25779.1710292058	NA
849	2005	1	6	11003.3047075878	20434.7087426631	NA
